Date,Time,Performer
20,17.5,Chelita (opening ceremony)
20,18.0,Brutal Fairy
20,19.0,Meilange
20,20.0,Seeing Doubles
20,21.0,Ashez
20,22.0,Paige Julia
20,23.0,Truth
20,24.0,Mish & Greeen
21,1.0,Artemizia
21,2.0,Trig
21,3.0,Hypnotoad
21,4.0,Deepnotic
21,5.0,Spoonhead
21,6.0,Subminimal
21,7.0,Transcenic
21,8.0,Leafsheep
21,9.0,Mr Walnuts
21,10.0,Mud Monkey
21,11.0,Tr
21,12.0,Dyspraxia
21,17.0,RaSponsable
21,18.0,Mr Tamati
21,19.0,Rasty
21,20.0,Namu
21,21.0,Dejavuduu
21,22.0,Headland
21,23.0,EBB
21,24.0,Optimus Gryme
22,1.0,ISM
22,2.0,Tom Cosm
22,3.0,Buzzlightyeah
22,4.0,Psypyro
22,5.0,DAK
22,6.0,DOC
22,7.0,Rana
22,8.0,Ellek
22,9.0,Patella
22,10.0,The horse
22,11.0,Deep Fried Dub
22,12.0,Geomystica
22,13.0,People of the pa
22,14.0,Themeta
22,15.0,Mumu Moore (closing ceremony)
